t,px,py,pz,ex,ey,ez,err
0.00,0.025,0.017,-0.029,-1.600,1.106,0.405,1.992
0.02,0.025,0.017,-0.030,-1.600,1.107,0.405,1.992
0.04,0.025,0.017,-0.030,-1.600,1.107,0.405,1.992
0.06,0.025,0.018,-0.030,-1.601,1.107,0.405,1.993
0.08,0.025,0.018,-0.030,-1.601,1.107,0.405,1.993
0.10,0.025,0.018,-0.030,-1.602,1.108,0.406,1.994
0.13,0.025,0.018,-0.030,-1.602,1.108,0.406,1.994
0.15,0.025,0.019,-0.030,-1.603,1.110,0.406,1.995
0.17,0.025,0.019,-0.030,-1.603,1.110,0.406,1.995
0.19,0.024,0.020,-0.030,-1.604,1.111,0.407,1.996
0.21,0.024,0.020,-0.030,-1.604,1.111,0.407,1.996
0.23,0.023,0.021,-0.030,-1.606,1.112,0.407,1.997
0.25,0.023,0.021,-0.030,-1.606,1.112,0.407,1.997
0.27,0.023,0.023,-0.030,-1.607,1.113,0.407,1.997
0.29,0.023,0.023,-0.030,-1.607,1.113,0.407,1.997
0.31,0.022,0.024,-0.030,-1.607,1.113,0.408,1.996
0.33,0.022,0.024,-0.030,-1.607,1.113,0.408,1.996
0.35,0.022,0.025,-0.030,-1.608,1.114,0.408,1.997
0.38,0.022,0.025,-0.030,-1.608,1.114,0.408,1.997
0.40,0.021,0.026,-0.029,-1.608,1.114,0.408,1.996
0.42,0.021,0.026,-0.029,-1.608,1.114,0.408,1.996
0.44,0.020,0.026,-0.029,-1.609,1.115,0.408,1.996
0.46,0.020,0.026,-0.029,-1.609,1.115,0.408,1.996
0.48,0.019,0.027,-0.029,-1.655,1.158,0.426,2.059
0.50,0.019,0.027,-0.029,-1.655,1.158,0.426,2.059
0.52,0.019,0.028,-0.029,-1.707,1.206,0.445,2.130
0.54,0.019,0.028,-0.029,-1.707,1.206,0.445,2.130
0.56,0.019,0.028,-0.029,-1.707,1.206,0.445,2.130
0.58,0.018,0.028,-0.028,-1.757,1.253,0.465,2.200
0.60,0.018,0.028,-0.028,-1.757,1.253,0.465,2.200
0.63,0.017,0.029,-0.027,-1.808,1.301,0.484,2.271
0.65,0.017,0.029,-0.027,-1.808,1.301,0.484,2.271
0.67,0.016,0.029,-0.027,-1.854,1.344,0.502,2.335
0.69,0.016,0.029,-0.027,-1.854,1.344,0.502,2.335
0.71,0.015,0.029,-0.026,-1.900,1.387,0.520,2.399
0.73,0.015,0.029,-0.026,-1.900,1.387,0.520,2.399
0.75,0.014,0.030,-0.026,-1.946,1.429,0.537,2.462
0.77,0.014,0.030,-0.026,-1.946,1.429,0.537,2.462
0.79,0.013,0.030,-0.025,-1.991,1.470,0.555,2.524
0.81,0.013,0.030,-0.025,-1.991,1.470,0.555,2.524
0.84,0.012,0.030,-0.025,-2.034,1.508,0.571,2.583
0.86,0.012,0.030,-0.025,-2.034,1.508,0.571,2.583
0.88,0.011,0.030,-0.024,-2.077,1.546,0.587,2.641
0.90,0.011,0.030,-0.024,-2.077,1.546,0.587,2.641
0.92,0.010,0.029,-0.024,-2.115,1.580,0.602,2.694
0.94,0.010,0.029,-0.024,-2.115,1.580,0.602,2.694
0.96,0.010,0.029,-0.023,-2.154,1.614,0.617,2.747
0.98,0.010,0.029,-0.023,-2.154,1.614,0.617,2.747
1.00,0.009,0.028,-0.023,-2.198,1.661,0.636,2.813
1.02,0.009,0.028,-0.023,-2.198,1.661,0.636,2.813
1.04,0.008,0.028,-0.022,-2.235,1.691,0.649,2.862
1.06,0.008,0.028,-0.022,-2.235,1.691,0.649,2.862
1.08,0.008,0.028,-0.022,-2.235,1.691,0.649,2.862
1.11,0.008,0.027,-0.022,-2.270,1.718,0.662,2.908
1.13,0.008,0.027,-0.022,-2.270,1.718,0.662,2.908
1.15,0.007,0.026,-0.021,-2.304,1.743,0.674,2.952
1.17,0.007,0.026,-0.021,-2.304,1.743,0.674,2.952
1.19,0.007,0.025,-0.021,-2.338,1.767,0.686,2.995
1.21,0.007,0.025,-0.021,-2.338,1.767,0.686,2.995
1.23,0.006,0.025,-0.021,-2.371,1.788,0.697,3.036
1.25,0.006,0.025,-0.021,-2.371,1.788,0.697,3.036
1.27,0.006,0.024,-0.020,-2.403,1.807,0.707,3.074
1.29,0.006,0.024,-0.020,-2.403,1.807,0.707,3.074
1.31,0.005,0.023,-0.020,-2.434,1.824,0.716,3.111
1.33,0.005,0.023,-0.020,-2.434,1.824,0.716,3.111
1.36,0.004,0.022,-0.019,-2.466,1.839,0.725,3.147
1.38,0.004,0.022,-0.019,-2.466,1.839,0.725,3.147
1.40,0.003,0.020,-0.019,-2.496,1.852,0.734,3.180
1.42,0.003,0.020,-0.019,-2.496,1.852,0.734,3.180
1.44,0.002,0.019,-0.018,-2.528,1.863,0.742,3.213
1.46,0.002,0.019,-0.018,-2.528,1.863,0.742,3.213
1.48,0.001,0.017,-0.018,-2.559,1.872,0.749,3.245
1.50,0.001,0.017,-0.018,-2.559,1.872,0.749,3.245
1.52,0.001,0.016,-0.018,-2.604,1.882,0.759,3.289
1.54,0.001,0.016,-0.018,-2.604,1.882,0.759,3.289
1.56,0.001,0.016,-0.018,-2.604,1.882,0.759,3.289
1.59,-0.000,0.014,-0.018,-2.634,1.886,0.765,3.317
1.61,-0.000,0.014,-0.018,-2.634,1.886,0.765,3.317
1.63,-0.000,0.012,-0.018,-2.665,1.888,0.770,3.344
1.65,-0.000,0.012,-0.018,-2.665,1.888,0.770,3.344
1.67,-0.001,0.010,-0.018,-2.696,1.888,0.775,3.370
1.69,-0.001,0.010,-0.018,-2.696,1.888,0.775,3.370
1.71,-0.001,0.009,-0.018,-2.726,1.886,0.779,3.395
1.73,-0.001,0.009,-0.018,-2.726,1.886,0.779,3.395
1.75,-0.001,0.008,-0.018,-2.757,1.882,0.783,3.420
