t,px,py,pz,ex,ey,ez,err
0.00,-0.006,0.015,0.012,-7.267,-0.003,0.910,7.319
0.02,-0.006,0.015,0.012,-7.268,-0.003,0.910,7.321
0.04,-0.006,0.015,0.012,-7.268,-0.003,0.910,7.321
0.06,-0.006,0.014,0.012,-7.268,-0.003,0.910,7.321
0.08,-0.006,0.014,0.012,-7.268,-0.003,0.910,7.321
0.10,-0.006,0.014,0.012,-7.269,-0.003,0.910,7.322
0.13,-0.006,0.014,0.012,-7.269,-0.003,0.910,7.322
0.15,-0.006,0.014,0.013,-7.270,-0.003,0.910,7.323
0.17,-0.006,0.014,0.013,-7.270,-0.003,0.910,7.323
0.19,-0.005,0.013,0.013,-7.271,-0.003,0.910,7.324
0.21,-0.005,0.013,0.013,-7.271,-0.003,0.910,7.324
0.23,-0.005,0.013,0.013,-7.271,-0.003,0.910,7.325
0.25,-0.005,0.013,0.013,-7.271,-0.003,0.910,7.325
0.27,-0.004,0.012,0.013,-7.272,-0.003,0.911,7.327
0.29,-0.004,0.012,0.013,-7.272,-0.003,0.911,7.327
0.31,-0.003,0.012,0.013,-7.272,-0.003,0.911,7.328
0.33,-0.003,0.012,0.013,-7.272,-0.003,0.911,7.328
0.35,-0.002,0.011,0.013,-7.273,-0.003,0.911,7.329
0.38,-0.002,0.011,0.013,-7.273,-0.003,0.911,7.329
0.40,-0.001,0.011,0.014,-7.273,-0.003,0.911,7.331
0.42,-0.001,0.011,0.014,-7.273,-0.003,0.911,7.331
0.44,0.001,0.011,0.014,-7.273,-0.003,0.911,7.333
0.46,0.001,0.011,0.014,-7.273,-0.003,0.911,7.333
0.48,0.002,0.010,0.014,-7.312,-0.003,0.915,7.373
0.50,0.002,0.010,0.014,-7.312,-0.003,0.915,7.373
0.52,0.003,0.010,0.015,-7.353,-0.003,0.920,7.415
0.54,0.003,0.010,0.015,-7.353,-0.003,0.920,7.415
0.56,0.003,0.010,0.015,-7.353,-0.003,0.920,7.415
0.58,0.006,0.010,0.015,-7.394,-0.003,0.925,7.460
0.61,0.006,0.010,0.015,-7.394,-0.003,0.925,7.460
0.63,0.007,0.010,0.015,-7.435,-0.003,0.930,7.502
0.65,0.007,0.010,0.015,-7.435,-0.003,0.930,7.502
0.67,0.008,0.010,0.015,-7.476,-0.003,0.935,7.545
0.69,0.008,0.010,0.015,-7.476,-0.003,0.935,7.545
0.71,0.010,0.010,0.015,-7.518,-0.003,0.939,7.588
0.73,0.010,0.010,0.015,-7.518,-0.003,0.939,7.588
0.75,0.011,0.010,0.015,-7.559,-0.003,0.944,7.630
0.77,0.011,0.010,0.015,-7.559,-0.003,0.944,7.630
0.79,0.012,0.011,0.015,-7.601,-0.003,0.949,7.674
0.81,0.012,0.011,0.015,-7.601,-0.003,0.949,7.674
0.83,0.013,0.011,0.015,-7.641,-0.003,0.954,7.715
0.85,0.013,0.011,0.015,-7.641,-0.003,0.954,7.715
0.88,0.013,0.011,0.015,-7.683,-0.003,0.959,7.758
0.90,0.013,0.011,0.015,-7.683,-0.003,0.959,7.758
0.92,0.014,0.011,0.014,-7.723,-0.003,0.964,7.799
0.94,0.014,0.011,0.014,-7.723,-0.003,0.964,7.799
0.96,0.015,0.012,0.014,-7.764,-0.003,0.969,7.841
0.98,0.015,0.012,0.014,-7.764,-0.003,0.969,7.841
1.00,0.015,0.012,0.013,-7.826,-0.003,0.977,7.904
1.02,0.015,0.012,0.013,-7.826,-0.003,0.977,7.904
1.04,0.016,0.012,0.013,-7.867,-0.003,0.982,7.946
1.06,0.016,0.012,0.013,-7.867,-0.003,0.982,7.946
1.08,0.016,0.012,0.013,-7.867,-0.003,0.982,7.946
1.10,0.018,0.012,0.012,-7.908,-0.003,0.987,7.988
1.12,0.018,0.012,0.012,-7.908,-0.003,0.987,7.988
1.15,0.018,0.012,0.011,-7.950,-0.003,0.992,8.031
1.17,0.018,0.012,0.011,-7.950,-0.003,0.992,8.031
1.19,0.019,0.012,0.011,-7.991,-0.003,0.997,8.073
1.21,0.019,0.012,0.011,-7.991,-0.003,0.997,8.073
1.23,0.020,0.012,0.011,-8.032,-0.003,1.002,8.116
1.25,0.020,0.012,0.011,-8.032,-0.003,1.002,8.116
1.27,0.021,0.012,0.010,-8.073,-0.003,1.008,8.158
1.29,0.021,0.012,0.010,-8.073,-0.003,1.008,8.158
1.31,0.021,0.012,0.010,-8.113,-0.003,1.013,8.199
1.33,0.021,0.012,0.010,-8.113,-0.003,1.013,8.199
1.35,0.022,0.012,0.010,-8.155,-0.003,1.018,8.241
1.37,0.022,0.012,0.010,-8.155,-0.003,1.018,8.241
1.40,0.022,0.012,0.010,-8.196,-0.003,1.023,8.283
1.42,0.022,0.012,0.010,-8.196,-0.003,1.023,8.283
1.44,0.022,0.012,0.010,-8.239,-0.003,1.029,8.326
1.46,0.022,0.012,0.010,-8.239,-0.003,1.029,8.326
1.48,0.022,0.012,0.010,-8.280,-0.003,1.034,8.367
1.50,0.022,0.012,0.010,-8.280,-0.003,1.034,8.367
1.52,0.022,0.012,0.010,-8.342,-0.003,1.042,8.430
1.54,0.022,0.012,0.010,-8.342,-0.003,1.042,8.430
1.56,0.022,0.012,0.010,-8.342,-0.003,1.042,8.430
1.58,0.022,0.012,0.010,-8.384,-0.003,1.047,8.472
1.60,0.022,0.012,0.010,-8.384,-0.003,1.047,8.472
1.62,0.022,0.011,0.010,-8.426,-0.003,1.053,8.514
1.65,0.022,0.011,0.010,-8.426,-0.003,1.053,8.514
1.67,0.021,0.011,0.010,-8.468,-0.003,1.058,8.556
1.69,0.021,0.011,0.010,-8.468,-0.003,1.058,8.556
1.71,0.021,0.011,0.010,-8.511,-0.002,1.064,8.599
1.73,0.021,0.011,0.010,-8.511,-0.002,1.064,8.599
1.75,0.021,0.010,0.010,-8.552,-0.002,1.069,8.640
1.77,0.021,0.010,0.010,-8.552,-0.002,1.069,8.640
1.79,0.020,0.010,0.010,-8.594,-0.002,1.075,8.682
1.81,0.020,0.010,0.010,-8.594,-0.002,1.075,8.682
1.83,0.020,0.009,0.010,-8.637,-0.002,1.080,8.725
1.85,0.020,0.009,0.010,-8.637,-0.002,1.080,8.725
1.87,0.019,0.009,0.010,-8.679,-0.002,1.086,8.767
1.89,0.019,0.009,0.010,-8.679,-0.002,1.086,8.767
1.92,0.019,0.008,0.010,-8.721,-0.002,1.091,8.809
1.94,0.019,0.008,0.010,-8.721,-0.002,1.091,8.809
1.96,0.018,0.007,0.011,-8.763,-0.002,1.096,8.851
1.98,0.018,0.007,0.011,-8.763,-0.002,1.096,8.851
2.00,0.018,0.007,0.011,-8.826,-0.002,1.104,8.914
2.02,0.018,0.007,0.011,-8.826,-0.002,1.104,8.914
2.04,0.017,0.006,0.011,-8.868,-0.002,1.110,8.956
2.06,0.017,0.006,0.011,-8.868,-0.002,1.110,8.956
2.08,0.017,0.006,0.011,-8.868,-0.002,1.110,8.956
2.10,0.017,0.005,0.011,-8.910,-0.002,1.115,8.997
2.12,0.017,0.005,0.011,-8.910,-0.002,1.115,8.997
2.14,0.016,0.004,0.011,-8.951,-0.002,1.120,9.038
2.17,0.016,0.004,0.011,-8.951,-0.002,1.120,9.038
2.19,0.015,0.003,0.010,-8.993,-0.002,1.126,9.079
2.21,0.015,0.003,0.010,-8.993,-0.002,1.126,9.079
2.23,0.015,0.003,0.010,-9.035,-0.002,1.131,9.121
2.25,0.015,0.003,0.010,-9.035,-0.002,1.131,9.121
2.27,0.014,0.002,0.010,-9.076,-0.002,1.136,9.162
